装備ID,装備名,開発日時,燃料,弾薬,鋼材,ボーキ,旗艦ID,旗艦名,旗艦艦種,司令部Lv
38,12.7mm単装機銃,2015/11/15 21:42:54,100,251,250,30,275,長門改,9,107
41,甲標的,2015/11/15 21:43:03,100,251,250,30,275,長門改,9,107
11,15.2cm単装砲,2015/11/15 21:43:13,100,251,250,30,275,長門改,9,107
6,20.3cm連装砲,2015/11/16 20:39:24,100,251,250,30,275,長門改,9,107
-1,(失敗),2015/11/16 20:43:24,100,251,250,30,275,長門改,9,107
8,41cm連装砲,2015/11/16 20:43:36,100,251,250,30,275,長門改,9,107
16,九七式艦攻,2015/11/16 20:43:46,100,251,250,30,275,長門改,9,107
24,彗星,2015/11/19 07:13:26,100,251,250,30,275,長門改,9,107
12,15.5cm三連装副砲,2015/11/19 07:14:45,100,251,250,30,275,長門改,9,107
8,41cm連装砲,2015/11/19 07:15:03,100,251,250,30,275,長門改,9,107
11,15.2cm単装砲,2015/11/19 07:15:17,100,251,250,30,275,長門改,9,107
10,12.7cm連装高角砲,2015/11/19 21:32:44,100,251,250,30,275,長門改,9,107
36,九一式徹甲弾,2015/11/19 21:33:32,100,251,250,30,275,長門改,9,107
24,彗星,2015/11/19 21:33:41,100,251,250,30,275,長門改,9,107
33,改良型艦本式タービン,2015/11/19 21:33:51,100,251,250,30,275,長門改,9,107
10,12.7cm連装高角砲,2015/11/23 18:10:02,100,251,250,30,275,長門改,9,107
36,九一式徹甲弾,2015/11/23 18:13:48,100,251,250,30,275,長門改,9,107
10,12.7cm連装高角砲,2015/11/23 18:14:00,100,251,250,30,275,長門改,9,107
34,強化型艦本式缶,2015/11/23 18:14:17,100,251,250,30,275,長門改,9,107
9,46cm三連装砲,2015/11/25 16:42:07,100,251,250,30,275,長門改,9,107
6,20.3cm連装砲,2015/11/25 16:44:33,100,251,250,30,275,長門改,9,107
16,九七式艦攻,2015/11/25 16:44:43,100,251,250,30,275,長門改,9,107
38,12.7mm単装機銃,2015/11/25 16:44:52,100,251,250,30,275,長門改,9,107
10,12.7cm連装高角砲,2015/11/27 17:59:27,10,251,250,30,275,長門改,9,107
12,15.5cm三連装副砲,2015/11/27 18:05:50,10,251,250,30,275,長門改,9,107
11,15.2cm単装砲,2015/11/27 18:06:01,10,251,250,30,275,長門改,9,107
-1,(失敗),2015/11/27 18:06:11,10,251,250,30,275,長門改,9,107
-1,(失敗),2015/11/30 07:58:06,20,20,250,250,277,赤城改,11,107
-1,(失敗),2015/11/30 08:00:16,20,20,250,250,277,赤城改,11,107
-1,(失敗),2015/11/30 08:00:26,20,20,250,250,277,赤城改,11,107
-1,(失敗),2015/11/30 08:00:36,20,20,250,250,277,赤城改,11,107
20,零式艦戦21型,2015/12/02 08:21:50,20,20,250,250,277,赤城改,11,107
21,零式艦戦52型,2015/12/02 08:23:22,20,20,250,250,277,赤城改,11,107
